id,homeAbbrev,awayAbbrev,est
2021020334,MTL,VAN,2021 November 29 19:30:00
2021020335,WPG,ARI,2021 November 29 19:30:00
2021020336,CGY,PIT,2021 November 29 21:00:00
2021020337,BOS,DET,2021 November 30 19:00:00
2021020338,FLA,WSH,2021 November 30 19:00:00
2021020339,NJD,SJS,2021 November 30 19:00:00
2021020340,PHI,NYI,2022 January 18 19:00:00
2021020341,STL,TBL,2021 November 30 20:00:00
2021020342,NSH,CBJ,2021 November 30 20:00:00
2021020343,DAL,CAR,2021 November 30 20:30:00
2021020344,MIN,ARI,2021 November 30 20:00:00
2021020345,LAK,ANA,2021 November 30 22:30:00
2021020346,TOR,COL,2021 December 01 19:30:00
2021020347,OTT,VAN,2021 December 01 19:30:00
2021020348,DET,SEA,2021 December 01 19:30:00
2021020349,NYR,PHI,2021 December 01 19:00:00
2021020350,EDM,PIT,2021 December 01 22:00:00
2021020351,ANA,VGK,2021 December 01 22:00:00
2021020352,MTL,COL,2021 December 02 19:00:00
2021020353,TBL,STL,2021 December 02 19:00:00
2021020354,FLA,BUF,2021 December 02 19:00:00
2021020355,NYI,SJS,2021 December 02 19:30:00
2021020356,WSH,CHI,2021 December 02 19:00:00
2021020357,CAR,OTT,2021 December 02 19:00:00
2021020358,NSH,BOS,2021 December 02 20:00:00
2021020359,DAL,CBJ,2021 December 02 20:30:00
2021020360,MIN,NJD,2021 December 02 20:00:00
2021020361,LAK,CGY,2021 December 02 22:30:00
2021020362,NYR,SJS,2021 December 03 19:00:00
2021020363,WPG,NJD,2021 December 03 20:00:00
2021020364,ARI,VGK,2021 December 03 21:30:00
2021020365,ANA,CGY,2021 December 03 22:00:00
2021020366,SEA,EDM,2021 December 03 22:00:00
2021020367,BOS,TBL,2021 December 04 19:00:00
2021020368,OTT,COL,2021 December 04 19:00:00
2021020369,DET,NYI,2021 December 04 19:00:00
2021020370,FLA,STL,2021 December 04 13:00:00
2021020371,NYR,CHI,2021 December 04 20:00:00
2021020372,WSH,CBJ,2021 December 04 19:00:00
2021020373,CAR,BUF,2021 December 04 19:30:00
2021020374,NSH,MTL,2021 December 04 19:00:00
2021020375,MIN,TOR,2021 December 04 19:00:00
2021020376,VAN,PIT,2021 December 04 22:00:00
2021020377,NYI,CHI,2021 December 05 19:30:00
2021020378,PHI,TBL,2021 December 05 18:00:00
2021020379,CBJ,SJS,2021 December 05 18:00:00
2021020380,WPG,TOR,2021 December 05 20:00:00
2021020381,EDM,LAK,2021 December 05 20:00:00
2021020382,VGK,CGY,2021 December 05 22:00:00
2021020383,PHI,COL,2021 December 06 19:00:00
2021020384,WSH,ANA,2021 December 06 19:00:00
2021020385,DAL,ARI,2021 December 06 20:30:00
2021020386,VAN,LAK,2021 December 06 22:00:00
2021020387,SEA,PIT,2021 December 06 22:00:00
2021020388,BUF,ANA,2021 December 07 19:30:00
2021020389,TOR,CBJ,2021 December 07 19:00:00
2021020390,MTL,TBL,2021 December 07 19:00:00
2021020391,OTT,NYI,2021 December 07 19:00:00
2021020392,DET,NSH,2021 December 07 19:00:00
2021020393,CHI,NYR,2021 December 07 20:30:00
2021020394,STL,FLA,2021 December 07 20:00:00
2021020395,WPG,CAR,2021 December 07 20:00:00
2021020396,EDM,MIN,2021 December 07 21:00:00
2021020397,SJS,CGY,2021 December 07 22:30:00
2021020398,NJD,PHI,2021 December 08 19:00:00
2021020399,NYR,COL,2021 December 08 19:00:00
2021020400,VAN,BOS,2021 December 08 21:00:00
2021020401,VGK,DAL,2021 December 08 22:00:00
2021020402,TOR,TBL,2021 December 09 19:00:00
2021020403,MTL,CHI,2021 December 09 19:00:00
2021020404,NYI,NSH,2021 December 09 19:30:00
2021020405,CBJ,ANA,2021 December 09 19:00:00
2021020406,STL,DET,2021 December 09 20:00:00
2021020407,CGY,CAR,2021 December 09 21:00:00
2021020408,EDM,BOS,2021 December 09 21:00:00
2021020409,LAK,DAL,2021 December 09 22:30:00
2021020410,SJS,MIN,2021 December 09 22:30:00
2021020411,SEA,WPG,2021 December 09 22:00:00
2021020412,BUF,NYR,2021 December 10 19:00:00
2021020413,NJD,NSH,2021 December 10 19:30:00
2021020414,WSH,PIT,2021 December 10 19:00:00
2021020415,COL,DET,2021 December 10 21:00:00
2021020416,ARI,FLA,2021 December 10 21:00:00
2021020417,VAN,WPG,2021 December 10 22:00:00
2021020418,VGK,PHI,2021 December 10 22:00:00
2021020419,BUF,WSH,2021 December 11 19:00:00
2021020420,TOR,CHI,2021 December 11 19:00:00
2021020421,OTT,TBL,2021 December 11 13:00:00
2021020422,NYI,NJD,2021 December 11 19:30:00
2021020423,PIT,ANA,2021 December 11 19:00:00
2021020424,STL,MTL,2021 December 11 19:00:00
2021020425,CGY,BOS,2021 December 11 22:00:00
2021020426,EDM,CAR,2021 December 11 22:00:00
2021020427,ARI,PHI,2021 December 11 21:00:00
2021020428,LAK,MIN,2021 December 11 22:30:00
2021020429,SJS,DAL,2021 December 11 22:30:00
2021020430,SEA,CBJ,2021 December 11 22:00:00
2021020431,NYR,NSH,2021 December 12 19:00:00
2021020432,STL,ANA,2021 December 12 19:00:00
2021020433,COL,FLA,2021 December 12 20:00:00
2021020434,VAN,CAR,2021 December 12 22:00:00
2021020435,VGK,MIN,2021 December 12 21:00:00
2021020436,CHI,CGY,2022 April 18 20:00:00
2021020437,BOS,VGK,2021 December 14 19:00:00
2021020438,DET,NYI,2021 December 14 19:30:00
2021020439,TBL,LAK,2021 December 14 19:00:00
2021020440,FLA,OTT,2021 December 14 19:00:00
2021020441,PHI,NJD,2021 December 14 19:00:00
2021020442,PIT,MTL,2021 December 14 19:00:00
2021020443,NSH,CGY,2022 April 19 20:00:00
2021020444,DAL,STL,2021 December 14 20:30:00
2021020445,MIN,CAR,2022 February 12 20:00:00
2021020446,WPG,BUF,2021 December 14 20:00:00
2021020447,COL,NYR,2021 December 14 21:00:00
2021020448,EDM,TOR,2021 December 14 21:00:00
2021020449,VAN,CBJ,2021 December 14 22:00:00
2021020450,SJS,SEA,2021 December 14 22:30:00
2021020451,CHI,WSH,2021 December 15 20:00:00
2021020452,ARI,NYR,2021 December 15 21:00:00
2021020453,ANA,SEA,2021 December 15 22:00:00
2021020454,MTL,PHI,2021 December 16 19:00:00
2021020455,TBL,OTT,2021 December 16 19:00:00
2021020456,FLA,LAK,2021 December 16 19:00:00
2021020457,NJD,VGK,2021 December 16 19:00:00
2021020458,NYI,BOS,2021 December 16 19:30:00
2021020459,CAR,DET,2021 December 16 19:00:00
2021020460,NSH,COL,2021 December 16 20:00:00
2021020461,MIN,BUF,2021 December 16 20:00:00
2021020462,CGY,TOR,2022 February 10 21:00:00
2021020463,EDM,CBJ,2021 December 16 21:00:00
2021020464,SJS,VAN,2021 December 16 22:30:00
2021020465,NYR,VGK,2021 December 17 19:00:00
2021020466,PIT,BUF,2021 December 17 19:00:00
2021020467,CHI,NSH,2021 December 17 20:30:00
2021020468,STL,DAL,2021 December 17 20:00:00
2021020469,WPG,WSH,2021 December 17 20:00:00
2021020470,ANA,ARI,2021 December 17 22:00:00
2021020471,MTL,BOS,2022 April 24 19:00:00
2021020472,DET,NJD,2021 December 18 20:00:00
2021020473,PHI,OTT,2021 December 18 19:00:00
2021020474,CAR,LAK,2021 December 18 19:00:00
2021020475,DAL,CHI,2021 December 18 20:00:00
2021020476,MIN,FLA,2022 February 18 20:00:00
2021020477,COL,TBL,2022 February 10 21:00:00
2021020478,CGY,CBJ,2022 February 15 21:00:00
2021020479,VAN,TOR,2022 February 12 19:00:00
2021020480,SEA,EDM,2021 December 18 22:00:00
2021020481,OTT,BOS,2022 February 19 19:00:00
2021020482,NJD,PIT,2021 December 19 19:00:00
2021020483,NYI,VGK,2021 December 19 14:00:00
2021020484,WSH,LAK,2021 December 19 19:00:00
2021020485,CAR,NSH,2022 February 18 19:00:00
2021020486,WPG,STL,2021 December 19 15:00:00
2021020487,VAN,ARI,2022 February 08 22:00:00
2021020488,SEA,TOR,2022 February 14 21:00:00
2021020489,BUF,CBJ,2022 February 10 19:00:00
2021020490,DET,COL,2022 February 23 19:30:00
2021020491,NYI,MTL,2022 February 20 14:00:00
2021020492,DAL,MIN,2021 December 20 20:30:00
2021020493,EDM,ANA,2022 February 17 21:00:00
2021020494,BOS,CAR,2022 February 10 19:00:00
2021020495,OTT,STL,2022 February 15 19:00:00
2021020496,PHI,WSH,2022 February 17 19:00:00
2021020497,PIT,NJD,2022 February 24 19:00:00
2021020498,CHI,FLA,2022 February 20 15:00:00
2021020499,NSH,WPG,2022 February 12 19:00:00
2021020500,CGY,ANA,2022 February 16 21:30:00
2021020501,VGK,TBL,2021 December 21 22:00:00
2021020502,SJS,VAN,2022 February 17 22:30:00
2021020503,SEA,ARI,2022 February 09 22:00:00
2021020504,BUF,COL,2022 February 19 13:00:00
2021020505,NYR,MTL,2022 April 27 19:30:00
2021020506,DAL,WPG,2022 February 11 20:30:00
2021020507,LAK,EDM,2022 February 15 22:30:00
2021020508,BOS,COL,2022 February 21 13:00:00
2021020509,TOR,STL,2022 February 19 19:00:00
2021020510,OTT,CAR,2022 February 08 19:00:00
2021020511,FLA,NSH,2022 February 22 19:00:00
2021020512,NJD,MTL,2022 April 07 19:00:00
2021020513,NYI,WSH,2022 April 28 19:00:00
2021020514,PIT,PHI,2022 February 15 19:00:00
2021020515,CBJ,BUF,2022 February 20 18:00:00
2021020516,CHI,DAL,2022 February 18 20:30:00
2021020517,MIN,DET,2022 February 14 20:00:00
2021020518,CGY,SEA,2022 February 19 22:00:00
2021020519,ARI,TBL,2022 February 11 21:30:00
2021020520,VAN,ANA,2022 February 19 22:00:00
2021020521,VGK,LAK,2022 February 18 22:00:00
2021020522,SJS,EDM,2022 February 14 22:30:00
2021020523,BOS,PIT,2022 February 08 19:00:00
2021020524,BUF,NYI,2022 February 15 19:00:00
2021020525,NYR,DET,2022 February 17 19:00:00
2021020526,WSH,OTT,2022 February 13 12:30:00
2021020527,CAR,FLA,2022 February 16 19:30:00
2021020528,CBJ,TOR,2022 February 22 19:00:00
2021020529,STL,NJD,2022 February 10 20:00:00
2021020530,DAL,NSH,2022 February 09 20:00:00
2021020531,WPG,MIN,2022 February 08 20:00:00
2021020532,CGY,EDM,2022 March 07 21:30:00
2021020533,ARI,LAK,2022 February 19 21:00:00
2021020534,VAN,SEA,2022 February 21 22:00:00
2021020535,VGK,COL,2022 February 16 22:00:00
2021020536,ANA,SJS,2022 February 22 22:00:00
2021020537,TBL,MTL,2021 December 28 19:00:00
