id,homeAbbrev,awayAbbrev,est
2024020369,NSH,TBL,2024 November 29 15:00:00
2024020370,ANA,LAK,2024 November 29 15:30:00
2024020371,SJS,SEA,2024 November 29 15:30:00
2024020372,BOS,PIT,2024 November 29 18:30:00
2024020373,DAL,COL,2024 November 29 21:00:00
2024020374,VGK,WPG,2024 November 29 20:30:00
2024020375,UTA,EDM,2024 November 29 21:00:00
2024020376,NYR,MTL,2024 November 30 13:00:00
2024020377,FLA,CAR,2024 November 30 16:00:00
2024020378,TBL,TOR,2024 November 30 19:00:00
2024020379,NJD,WSH,2024 November 30 19:00:00
2024020380,PIT,CGY,2024 November 30 19:00:00
2024020381,STL,PHI,2024 November 30 19:00:00
2024020382,LAK,OTT,2024 November 30 19:00:00
2024020383,NYI,BUF,2024 November 30 19:30:00
2024020384,MIN,NSH,2024 November 30 20:00:00
2024020385,COL,EDM,2024 November 30 22:00:00
2024020386,VGK,UTA,2024 November 30 22:00:00
2024020387,SEA,SJS,2024 November 30 22:00:00
2024020388,DET,VAN,2024 December 01 12:30:00
2024020389,BOS,MTL,2024 December 01 15:00:00
2024020390,CHI,CBJ,2024 December 01 15:00:00
2024020391,DAL,WPG,2024 December 01 16:30:00
2024020392,ANA,OTT,2024 December 01 20:00:00
2024020393,NYR,NJD,2024 December 02 19:00:00
2024020394,TOR,CHI,2024 December 02 19:30:00
2024020395,UTA,DAL,2024 December 02 21:00:00
2024020396,BOS,DET,2024 December 03 19:00:00
2024020397,BUF,COL,2024 December 03 19:00:00
2024020398,MTL,NYI,2024 December 03 19:00:00
2024020399,PIT,FLA,2024 December 03 19:00:00
2024020400,WSH,SJS,2024 December 03 19:00:00
2024020401,CAR,SEA,2024 December 03 19:00:00
2024020402,MIN,VAN,2024 December 03 20:00:00
2024020403,WPG,STL,2024 December 03 20:00:00
2024020404,CGY,CBJ,2024 December 03 21:00:00
2024020405,VGK,EDM,2024 December 03 22:00:00
2024020406,TOR,NSH,2024 December 04 19:30:00
2024020407,CHI,BOS,2024 December 04 19:30:00
2024020408,ANA,VGK,2024 December 04 22:00:00
2024020409,LAK,DAL,2024 December 04 22:00:00
2024020410,BUF,WPG,2024 December 05 19:00:00
2024020411,MTL,NSH,2024 December 05 19:00:00
2024020412,OTT,DET,2024 December 05 19:00:00
2024020413,TBL,SJS,2024 December 05 19:00:00
2024020414,PHI,FLA,2024 December 05 19:00:00
2024020415,CAR,COL,2024 December 05 19:00:00
2024020416,NYI,SEA,2024 December 05 19:30:00
2024020417,CGY,STL,2024 December 05 21:00:00
2024020418,EDM,CBJ,2024 December 05 21:00:00
2024020419,TOR,WSH,2024 December 06 19:00:00
2024020420,NJD,SEA,2024 December 06 19:00:00
2024020421,NYR,PIT,2024 December 06 19:30:00
2024020422,VAN,CBJ,2024 December 06 22:00:00
2024020423,VGK,DAL,2024 December 06 22:00:00
2024020424,ANA,MIN,2024 December 06 22:00:00
2024020425,BOS,PHI,2024 December 07 13:00:00
2024020426,BUF,UTA,2024 December 07 13:00:00
2024020427,CHI,WPG,2024 December 07 16:00:00
2024020428,NYI,CAR,2024 December 07 17:00:00
2024020429,FLA,SJS,2024 December 07 18:00:00
2024020430,MTL,WSH,2024 December 07 19:00:00
2024020431,OTT,NSH,2024 December 07 19:00:00
2024020432,DET,COL,2024 December 07 19:00:00
2024020433,PIT,TOR,2024 December 07 19:00:00
2024020434,LAK,MIN,2024 December 07 20:00:00
2024020435,EDM,STL,2024 December 07 22:00:00
2024020436,NYR,SEA,2024 December 08 13:00:00
2024020437,VAN,TBL,2024 December 08 16:00:00
2024020438,OTT,NYI,2024 December 08 17:00:00
2024020439,WPG,CBJ,2024 December 08 18:00:00
2024020440,NJD,COL,2024 December 08 19:00:00
2024020441,PHI,UTA,2024 December 08 19:30:00
2024020442,DAL,CGY,2024 December 08 20:00:00
2024020443,BUF,DET,2024 December 09 19:00:00
2024020444,NYR,CHI,2024 December 09 19:00:00
2024020445,MTL,ANA,2024 December 09 19:30:00
2024020446,NJD,TOR,2024 December 10 19:00:00
2024020447,PIT,COL,2024 December 10 19:00:00
2024020448,CAR,SJS,2024 December 10 19:00:00
2024020449,CBJ,PHI,2024 December 10 19:00:00
2024020450,NYI,LAK,2024 December 10 19:30:00
2024020451,NSH,CGY,2024 December 10 20:00:00
2024020452,WPG,BOS,2024 December 10 20:00:00
2024020453,EDM,TBL,2024 December 10 21:00:00
2024020454,UTA,MIN,2024 December 10 21:30:00
2024020455,VAN,STL,2024 December 10 22:00:00
2024020456,SEA,FLA,2024 December 10 22:00:00
